x1,y1,x2,y2
597.0,-0.002,521.9384186,0.015543049
596.0,-0.002,521.6848371,0.015625296
595.0,-0.002,521.4312557,0.015708302
594.0,-0.002,521.1776743,0.015792077
593.0,-0.001,520.9240929,0.01587663
592.0,-0.001,520.6705114,0.015961972
591.0,-0.001,520.41693,0.016048114
590.0,-0.001,520.1633486,0.016135065
589.0,-0.001,519.9097671,0.016222837
588.0,-0.001,519.6561857,0.01631144
587.0,-0.001,519.4026043,0.016400885
586.0,-0.001,519.1490229,0.016491184
585.0,-0.001,518.8954414,0.016582347
584.0,-0.001,518.64186,0.016674387
583.0,-0.001,518.3882786,0.016767315
582.0,0.0,518.1346971,0.016861144
581.0,0.0,517.8811157,0.016955885
580.0,0.0,517.6275343,0.01705155
579.0,0.0,517.3739529,0.017148154
578.0,0.0,517.1203714,0.017245707
577.0,0.001,516.86679,0.017344223
576.0,0.001,516.6132086,0.017443716
575.0,0.001,516.3596271,0.017544199
574.0,0.001,516.1060457,0.017645686
573.0,0.001,515.8524643,0.01774819
572.0,0.002,515.5988829,0.017851726
571.0,0.002,515.3453014,0.017956308
570.0,0.002,515.09172,0.018061951
569.0,0.003,514.8381386,0.01816867
568.0,0.003,514.5845571,0.01827648
567.0,0.004,514.3309757,0.018385397
566.0,0.004,514.0773943,0.018495436
565.0,0.005,513.8238129,0.018606613
564.0,0.005,513.5702314,0.018718944
563.0,0.006,513.31665,0.018832447
562.0,0.006,513.0630686,0.018947138
561.0,0.007,512.8094871,0.019063034
560.0,0.008,512.5559057,0.019180153
559.0,0.009,512.3023243,0.019298512
558.0,0.01,512.0487429,0.01941813
557.0,0.01,511.7951614,0.019539025
556.0,0.011,511.54158,0.019661216
555.0,0.012,511.2879986,0.019784722
554.0,0.013,511.0344171,0.019909563
553.0,0.014,510.7808357,0.020035757
552.0,0.015,510.5272543,0.020163327
551.0,0.016,510.2736729,0.020292291
550.0,0.018,510.0200914,0.020422671
549.0,0.019,509.76651,0.020554489
548.0,0.02,509.5129286,0.020687766
547.0,0.022,509.2593471,0.020822524
546.0,0.023,509.0057657,0.020958785
545.0,0.025,508.7521843,0.021096574
544.0,0.026,508.4986029,0.021235912
543.0,0.028,508.2450214,0.021376824
542.0,0.03,507.99144,0.021519335
541.0,0.032,507.7378586,0.021663468
540.0,0.034,507.4842771,0.021809249
539.0,0.036,507.2306957,0.021956704
538.0,0.039,506.9771143,0.022105859
537.0,0.041,506.7235329,0.02225674
536.0,0.044,506.4699514,0.022409375
535.0,0.046,506.21637,0.022563792
534.0,0.049,505.9627886,0.022720018
533.0,0.052,505.7092071,0.022878082
532.0,0.054,505.4556257,0.023038015
531.0,0.057,505.2020443,0.023199844
530.0,0.06,504.9484629,0.023363602
529.0,0.064,504.6948814,0.023529318
528.0,0.067,504.4413,0.023697026
527.0,0.07,504.1877186,0.023866756
526.0,0.074,503.9341371,0.024038542
525.0,0.077,503.6805557,0.024212418
524.0,0.081,503.4269743,0.024388417
523.0,0.085,503.1733929,0.024566575
522.0,0.089,502.9198114,0.024746926
521.0,0.093,502.66623,0.024929508
520.0,0.097,502.4126486,0.025114358
519.0,0.102,502.1590671,0.025301512
518.0,0.106,501.9054857,0.02549101
517.0,0.11,501.6519043,0.025682891
516.0,0.114,501.3983229,0.025877194
515.0,0.119,501.1447414,0.026073961
514.0,0.124,500.89116,0.026273234
513.0,0.129,500.6375786,0.026475054
512.0,0.134,500.3839971,0.026679465
511.0,0.139,500.1304157,0.026886512
510.0,0.144,499.8768343,0.027096239
509.0,0.15,499.6232529,0.027308693
508.0,0.155,499.3696714,0.02752392
507.0,0.161,499.11609,0.027741969
506.0,0.166,498.8625086,0.027962888
505.0,0.172,498.6089271,0.028186727
504.0,0.178,498.3553457,0.028413538
503.0,0.184,498.1017643,0.028643372
502.0,0.19,497.8481829,0.028876281
501.0,0.196,497.5946014,0.029112321
500.0,0.202,497.34102,0.029351547
499.0,0.209,497.0874386,0.029594015
498.0,0.215,496.8338571,0.029839782
497.0,0.222,496.5802757,0.030088907
496.0,0.228,496.3266943,0.030341451
495.0,0.235,496.0731129,0.030597474
494.0,0.241,495.8195314,0.030857039
493.0,0.248,495.56595,0.031120209
492.0,0.255,495.3123686,0.03138705
491.0,0.261,495.0587871,0.031657628
490.0,0.268,494.8052057,0.031932011
489.0,0.275,494.5516243,0.032210269
488.0,0.282,494.2980429,0.032492471
487.0,0.289,494.0444614,0.032778689
486.0,0.295,493.79088,0.033068999
485.0,0.302,493.5372986,0.033363474
484.0,0.309,493.2837171,0.033662192
483.0,0.315,493.0301357,0.03396523
482.0,0.322,492.7765543,0.03427267
481.0,0.329,492.5229729,0.034584591
480.0,0.335,492.2693914,0.034901079
479.0,0.342,492.01581,0.035222217
478.0,0.348,491.7622286,0.035548092
477.0,0.354,491.5086471,0.035878794
476.0,0.36,491.2550657,0.036214413
475.0,0.367,491.0014843,0.03655504
474.0,0.373,490.7479029,0.036900771
473.0,0.379,490.4943214,0.037251701
472.0,0.385,490.24074,0.037607929
471.0,0.39,489.9871586,0.037969554
470.0,0.396,489.7335771,0.038336679
469.0,0.402,489.4799957,0.038709408
468.0,0.407,489.2264143,0.039087848
467.0,0.412,488.9728329,0.039472107
466.0,0.418,488.7192514,0.039862296
465.0,0.423,488.46567,0.040258528
464.0,0.427,488.2120886,0.040660918
463.0,0.432,487.9585071,0.041069584
462.0,0.436,487.7049257,0.041484645
461.0,0.44,487.4513443,0.041906225
460.0,0.444,487.1977629,0.042334447
459.0,0.448,486.9441814,0.042769439
458.0,0.452,486.6906,0.04321133
457.0,0.455,486.4370186,0.043660253
456.0,0.458,486.1834371,0.044116341
455.0,0.461,485.9298557,0.044579733
454.0,0.464,485.6762743,0.045050567
453.0,0.466,485.4226929,0.045528986
452.0,0.468,485.1691114,0.046015136
451.0,0.47,484.91553,0.046509163
450.0,0.472,484.6619486,0.047011217
449.0,0.473,484.4083671,0.047521452
448.0,0.475,484.1547857,0.048040024
447.0,0.476,483.9012043,0.048567089
446.0,0.477,483.6476229,0.04910281
445.0,0.477,483.3940414,0.04964735
444.0,0.478,483.14046,0.050200875
443.0,0.478,482.8868786,0.050763554
442.0,0.478,482.6332971,0.051335558
441.0,0.477,482.3797157,0.051917062
440.0,0.477,482.1261343,0.052508243
439.0,0.476,481.8725529,0.053109279
438.0,0.475,481.6189714,0.053720353
437.0,0.473,481.36539,0.054341649
436.0,0.472,481.1118086,0.054973353
435.0,0.47,480.8582271,0.055615655
434.0,0.468,480.6046457,0.056268746
433.0,0.465,480.3510643,0.056932818
432.0,0.463,480.0974829,0.057608068
431.0,0.46,479.8439014,0.058294693
430.0,0.457,479.59032,0.058992892
429.0,0.454,479.3367386,0.059702865
428.0,0.45,479.0831571,0.060424814
427.0,0.447,478.8295757,0.061158945
426.0,0.443,478.5759943,0.06190546
425.0,0.439,478.3224129,0.062664565
424.0,0.435,478.0688314,0.063436467
423.0,0.431,477.81525,0.064221372
422.0,0.427,477.5616686,0.065019486
421.0,0.422,477.3080871,0.065831017
420.0,0.418,477.0545057,0.066656169
419.0,0.413,476.8009243,0.067495148
418.0,0.407,476.5473429,0.068348158
417.0,0.402,476.2937614,0.069215401
416.0,0.397,476.04018,0.070097075
415.0,0.391,475.7865986,0.07099338
414.0,0.386,475.5330171,0.071904507
413.0,0.38,475.2794357,0.072830649
412.0,0.375,475.0258543,0.073771989
